Age,Educational_level,Screening_time,doubts_frequency,doubts_clearance_frequency,assignments_deadlines,health_problems,lack_of_practical_exposure,Irregular_eating_habits,Exercise,depressiveness,anxiety_interference,overthinking,unnecessary_misunderstandings ,online_courses,courses_completed,concentration_difficulty,procrastination,social_media_hours,hobby_hours,increased_sleep_hours                                                                                                                          ,online_difficulty_level,focus_level,Total
16 to 18 years,Higher Secondary School,3 to 4 hours,Sometimes,Always,Rarely,Yes,Never,No,Sometimes,Rarely,No,No,No,2,1,3,2,2,2,2,2,3,16
13 to 15 years,Secondary School,2 to 3 hours,Never,Sometimes,Never,No,Sometimes,No,Rarely,Occasionally,Yes,Yes,Maybe,1,0,1,4,2,2,4,5,1,19
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Always,Never,Yes,Never,Yes,Sometimes,Rarely,No,Yes,No,3,0,4,1,1,0,0,2,4,12
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Always,Always,No,Sometimes,No,Sometimes,Rarely,Maybe,No,Maybe,more than 3,more than 3,5,2,2,1,2,2,5,19
13 to 15 years,Secondary School,2 to 3 hours,Sometimes,Sometimes,Always,No,Sometimes,No,Rarely,Occasionally,No,Yes,Yes,0,0,4,2,2,1,2,2,4,17
13 to 15 years,Secondary School,2 to 3 hours,Never,Sometimes,Always,No,Always,No,Always,Never,Yes,Yes,Yes,more than 3,more than 3,5,3,2,2,2,3,5,22
13 to 15 years,Secondary School,2 to 3 hours,Never,Sometimes,Never,No,Always,No,Sometimes,Occasionally,Yes,Yes,Yes,more than 3,more than 3,1,3,2,2,2,4,1,15
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Sometimes,No,Sometimes,No,Always,Never,Yes,No,Yes,0,0,4,4,2,1,2,5,4,22
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Always,Always,No,Always,May be,Always,Occasionally,Yes,Yes,Yes,3,0,4,2,0,0,0,3,5,14
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Always,Always,Yes,Always,May be,Always,Rarely,No,Yes,Maybe,more than 3,3,5,3,0,0,0,2,5,15
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Always,Never,No,Always,May be,Sometimes,Occasionally,Maybe,Yes,Yes,more than 3,more than 3,5,5,0,0,0,4,5,19
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Rarely,Rarely,Yes,Always,May be,Never,Rarely,Maybe,May be,No,more than 3,more than 3,4,2,0,0,0,2,4,12
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Sometimes,Rarely,No,Rarely,May be,Rarely,Occasionally,No,Yes,No,more than 3,more than 3,4,3,0,0,0,5,4,16
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Sometimes,Sometimes,Yes,Sometimes,May be,Sometimes,Rarely,Maybe,May be,Maybe,3,3,4,2,0,0,0,5,4,15
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Always,Always,No,Always,No,Always,All the time,Yes,No,Yes,more than 3,more than 3,5,5,0,0,0,4,4,18
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Never,Yes,Always,Yes,Always,Never,No,May be,No,more than 3,more than 3,5,1,0,0,1,4,4,15
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Never,No,Always,No,Sometimes,Occasionally,No,No,No,1,0,5,5,0,0,1,4,5,20
18 to 22 years,Under Graduate,4 to 5 hours,Never,Always,Sometimes,Yes,Always,Yes,Rarely,All the time,Yes,Yes,Yes,more than 3,more than 3,5,5,1,0,2,4,5,22
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Sometimes,Yes,Rarely,Yes,Sometimes,Rarely,No,No,Yes,1,1,3,2,2,0,1,2,4,14
18 to 22 years,Under Graduate,4 to 5 hours,Sometimes,Sometimes,Sometimes,Yes,Sometimes,Yes,Rarely,Occasionally,Yes,Yes,Yes,2,1,4,4,2,0,1,4,4,19
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Always,Always,Yes,Sometimes,Yes,Sometimes,Rarely,Yes,Yes,Yes,more than 3,more than 3,4,4,1,0,1,4,4,18
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Sometimes,Yes,Always,May be,Never,Occasionally,Yes,Yes,Maybe,more than 3,more than 3,5,4,1,0,1,4,5,20
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Always,Yes,Always,May be,Never,Rarely,No,No,Yes,more than 3,more than 3,5,3,1,0,1,4,5,19
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Rarely,Rarely,No,Always,No,Sometimes,Occasionally,No,Yes,Yes,1,1,2,4,2,2,4,2,2,18
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Rarely,Yes,Rarely,Yes,Rarely,Occasionally,Yes,Yes,No,more than 3,0,4,4,1,0,1,5,4,19
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Sometimes,Yes,Always,Yes,Sometimes,Occasionally,Yes,Yes,Yes,more than 3,1,3,4,1,0,1,5,4,18
23 to 26 years,Post Graduate,5 to 6 hours,Always,Always,Sometimes,Yes,Rarely,Yes,Sometimes,Occasionally,Yes,Yes,No,more than 3,1,4,4,1,0,0,5,3,17
23 to 26 years,Post Graduate,5 to 6 hours,Rarely,Sometimes,Sometimes,Yes,Always,Yes,Never,Occasionally,Yes,Yes,Yes,more than 3,3,4,4,1,0,0,5,4,18
18 to 22 years,Under Graduate,5 to 6 hours,Sometimes,Always,Sometimes,No,Always,No,Sometimes,Occasionally,Yes,Yes,Yes,2,1,3,4,2,0,1,3,3,16
18 to 22 years,Under Graduate,5 to 6 hours,Always,Always,Sometimes,No,Always,No,Always,Occasionally,No,Yes,Yes,1,1,2,4,2,1,2,2,2,15
18 to 22 years,Under Graduate,5 to 6 hours,Always,Always,Sometimes,No,Always,No,Always,Never,Yes,No,No,2,2,3,4,2,1,2,2,3,17
18 to 22 years,Under Graduate,4 to 5 hours,Always,Always,Sometimes,No,Sometimes,No,Always,Occasionally,Yes,Yes,Yes,more than 3,more than 3,4,4,2,1,2,4,4,21
13 to 15 years,Secondary School,2 to 3 hours,Rarely,Sometimes,Sometimes,No,Rarely,No,Sometimes,Occasionally,Yes,Yes,Yes,1,1,2,4,2,2,4,2,2,18
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Sometimes,Sometimes,No,Always,No,Sometimes,Occasionally,No,Yes,Yes,more than 3,2,5,3,0,0,0,3,4,15
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Sometimes,Sometimes,Yes,Always,Yes,Sometimes,Occasionally,Yes,Yes,Yes,more than 3,3,4,4,0,0,0,5,4,17
23 to 26 years,Post Graduate,5 to 6 hours,Sometimes,Sometimes,Sometimes,No,Always,No,Always,Rarely,No,No,No,2,2,4,4,0,0,0,4,4,16
,,,,,,,,,,,,,,,,,,,,,,,16.998698
,,,,,,,,,,,,,,,Variance,1.160972785,1.205455373,1.206734529,0.602435272,0.524312989,1.102347981,1.169171147,5.802258929
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,VALIDATING DATA BY PERFORMING INTERNAL CONSISTENCY CHECK,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,(7/6)*((16.998698-5.802259)/16.998698),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,alpha=,0.768441927,(ACCEPTED),,,,,,
